timestamp,speed_kmh
2026-06-06 12:20:50,103.4
2026-06-06 12:21:00,102.9
2026-06-06 12:21:10,101.5
2026-06-06 12:21:20,101.0
2026-06-06 12:21:30,102.0
2026-06-06 12:21:40,102.0
2026-06-06 12:21:50,102.9
2026-06-06 12:22:00,102.0
2026-06-06 12:22:10,102.9
2026-06-06 12:22:20,101.1
2026-06-06 12:22:30,101.3
2026-06-06 12:22:40,102.5
2026-06-06 12:22:50,101.3
2026-06-06 12:23:00,101.9
2026-06-06 12:23:10,100.6
2026-06-06 12:23:20,101.1
2026-06-06 12:23:30,100.8
2026-06-06 12:23:40,102.6
2026-06-06 12:23:50,101.6
2026-06-06 12:24:00,102.3
2026-06-06 12:24:10,99.9
2026-06-06 12:24:20,100.0
2026-06-06 12:24:30,102.0
2026-06-06 12:24:40,101.8
2026-06-06 12:24:50,100.4
2026-06-06 12:25:00,100.4
2026-06-06 12:25:10,99.7
2026-06-06 12:25:20,99.9
2026-06-06 12:25:30,100.6
2026-06-06 12:25:40,100.4
2026-06-06 12:25:50,101.0
2026-06-06 12:26:00,100.9
2026-06-06 12:26:10,100.1
2026-06-06 12:26:20,101.1
2026-06-06 12:26:30,101.8
2026-06-06 12:26:40,101.1
2026-06-06 12:26:50,99.8
2026-06-06 12:27:00,100.8
2026-06-06 12:27:10,100.1
2026-06-06 12:27:20,99.6
2026-06-06 12:27:30,100.9
2026-06-06 12:27:40,100.5
2026-06-06 12:27:50,101.6
2026-06-06 12:28:00,101.7
2026-06-06 12:28:10,100.6
2026-06-06 12:28:20,99.9
2026-06-06 12:28:30,100.1
2026-06-06 12:28:40,100.5
2026-06-06 12:28:50,101.3
2026-06-06 12:29:00,100.2
2026-06-06 12:29:10,100.1
2026-06-06 12:29:20,101.4
2026-06-06 12:29:30,101.9
2026-06-06 12:29:40,101.2
2026-06-06 12:29:50,101.4
2026-06-06 12:30:00,100.8
2026-06-06 12:30:10,102.0
2026-06-06 12:30:20,102.4
2026-06-06 12:30:30,101.8
2026-06-06 12:30:40,98.2
2026-06-06 12:30:50,89.2
2026-06-06 12:31:00,84.1
2026-06-06 12:31:10,81.7
2026-06-06 12:31:20,82.0
2026-06-06 12:31:30,82.7
2026-06-06 12:31:40,81.3
2026-06-06 12:31:50,83.8
2026-06-06 12:32:00,82.2
2026-06-06 12:32:10,83.8
2026-06-06 12:32:20,82.3
2026-06-06 12:32:30,81.8
2026-06-06 12:32:40,83.2
2026-06-06 12:32:50,81.9
2026-06-06 12:33:00,84.7
2026-06-06 12:33:10,82.4
2026-06-06 12:33:20,82.9
2026-06-06 12:33:30,82.6
2026-06-06 12:33:40,81.7
2026-06-06 12:33:50,82.6
2026-06-06 12:34:00,82.8
2026-06-06 12:34:10,81.6
2026-06-06 12:34:20,83.3
2026-06-06 12:34:30,83.7
2026-06-06 12:34:40,82.0
2026-06-06 12:34:50,83.4
2026-06-06 12:35:00,82.2
2026-06-06 12:35:10,82.0
2026-06-06 12:35:20,81.7
2026-06-06 12:35:30,81.9
2026-06-06 12:35:40,82.1
2026-06-06 12:35:50,81.4
2026-06-06 12:36:00,81.5
2026-06-06 12:36:10,81.7
2026-06-06 12:36:20,81.9
2026-06-06 12:36:30,81.9
2026-06-06 12:36:40,82.3
2026-06-06 12:36:50,81.7
2026-06-06 12:37:00,80.9
2026-06-06 12:37:10,81.4
2026-06-06 12:37:20,80.8
2026-06-06 12:37:30,81.0
2026-06-06 12:37:40,81.1
2026-06-06 12:37:50,81.6
2026-06-06 12:38:00,80.2
2026-06-06 12:38:10,79.8
2026-06-06 12:38:20,80.1
2026-06-06 12:38:30,78.9
2026-06-06 12:38:40,80.4
2026-06-06 12:38:50,80.3
2026-06-06 12:39:00,81.2
2026-06-06 12:39:10,81.1
2026-06-06 12:39:20,80.1
2026-06-06 12:39:30,80.6
2026-06-06 12:39:40,81.0
2026-06-06 12:39:50,82.2
2026-06-06 12:40:00,80.4
2026-06-06 12:40:10,81.2
2026-06-06 12:40:20,80.9
2026-06-06 12:40:30,80.7
2026-06-06 12:40:40,82.2
