timestamp,rpm
2026-06-06 12:20:50,2125.0
2026-06-06 12:21:00,2099.0
2026-06-06 12:21:10,2103.0
2026-06-06 12:21:20,2036.0
2026-06-06 12:21:30,2137.0
2026-06-06 12:21:40,2145.0
2026-06-06 12:21:50,2208.0
2026-06-06 12:22:00,2071.0
2026-06-06 12:22:10,2153.0
2026-06-06 12:22:20,2071.0
2026-06-06 12:22:30,2070.0
2026-06-06 12:22:40,2172.0
2026-06-06 12:22:50,2099.0
2026-06-06 12:23:00,2099.0
2026-06-06 12:23:10,2057.0
2026-06-06 12:23:20,2065.0
2026-06-06 12:23:30,2107.0
2026-06-06 12:23:40,2139.0
2026-06-06 12:23:50,2118.0
2026-06-06 12:24:00,2168.0
2026-06-06 12:24:10,2017.0
2026-06-06 12:24:20,2067.0
2026-06-06 12:24:30,2211.0
2026-06-06 12:24:40,2113.0
2026-06-06 12:24:50,2060.0
2026-06-06 12:25:00,2086.0
2026-06-06 12:25:10,2039.0
2026-06-06 12:25:20,2030.0
2026-06-06 12:25:30,2089.0
2026-06-06 12:25:40,2056.0
2026-06-06 12:25:50,2079.0
2026-06-06 12:26:00,2058.0
2026-06-06 12:26:10,2021.0
2026-06-06 12:26:20,2177.0
2026-06-06 12:26:30,2112.0
2026-06-06 12:26:40,2089.0
2026-06-06 12:26:50,2070.0
2026-06-06 12:27:00,2135.0
2026-06-06 12:27:10,2103.0
2026-06-06 12:27:20,2030.0
2026-06-06 12:27:30,2144.0
2026-06-06 12:27:40,2059.0
2026-06-06 12:27:50,2186.0
2026-06-06 12:28:00,2129.0
2026-06-06 12:28:10,2032.0
2026-06-06 12:28:20,2053.0
2026-06-06 12:28:30,2031.0
2026-06-06 12:28:40,2084.0
2026-06-06 12:28:50,2113.0
2026-06-06 12:29:00,2108.0
2026-06-06 12:29:10,2061.0
2026-06-06 12:29:20,2124.0
2026-06-06 12:29:30,2123.0
2026-06-06 12:29:40,2058.0
2026-06-06 12:29:50,2099.0
2026-06-06 12:30:00,2060.0
2026-06-06 12:30:10,2149.0
2026-06-06 12:30:20,2166.0
2026-06-06 12:30:30,2067.0
2026-06-06 12:30:40,2002.0
2026-06-06 12:30:50,1802.0
2026-06-06 12:31:00,1697.0
2026-06-06 12:31:10,1704.0
2026-06-06 12:31:20,1662.0
2026-06-06 12:31:30,1729.0
2026-06-06 12:31:40,1647.0
2026-06-06 12:31:50,1867.0
2026-06-06 12:32:00,1650.0
2026-06-06 12:32:10,1834.0
2026-06-06 12:32:20,1670.0
2026-06-06 12:32:30,1710.0
2026-06-06 12:32:40,1790.0
2026-06-06 12:32:50,1647.0
2026-06-06 12:33:00,1891.0
2026-06-06 12:33:10,1652.0
2026-06-06 12:33:20,1733.0
2026-06-06 12:33:30,1732.0
2026-06-06 12:33:40,1699.0
2026-06-06 12:33:50,1801.0
2026-06-06 12:34:00,1722.0
2026-06-06 12:34:10,1724.0
2026-06-06 12:34:20,1860.0
2026-06-06 12:34:30,1710.0
2026-06-06 12:34:40,1669.0
2026-06-06 12:34:50,1809.0
2026-06-06 12:35:00,1670.0
2026-06-06 12:35:10,1659.0
2026-06-06 12:35:20,1677.0
2026-06-06 12:35:30,1645.0
2026-06-06 12:35:40,1734.0
2026-06-06 12:35:50,1721.0
2026-06-06 12:36:00,1679.0
2026-06-06 12:36:10,1646.0
2026-06-06 12:36:20,1672.0
2026-06-06 12:36:30,1639.0
2026-06-06 12:36:40,1704.0
2026-06-06 12:36:50,1684.0
2026-06-06 12:37:00,1620.0
2026-06-06 12:37:10,1681.0
2026-06-06 12:37:20,1678.0
2026-06-06 12:37:30,1677.0
2026-06-06 12:37:40,1663.0
2026-06-06 12:37:50,1752.0
2026-06-06 12:38:00,1690.0
2026-06-06 12:38:10,1684.0
2026-06-06 12:38:20,1706.0
2026-06-06 12:38:30,1641.0
2026-06-06 12:38:40,1724.0
2026-06-06 12:38:50,1622.0
2026-06-06 12:39:00,1758.0
2026-06-06 12:39:10,1701.0
2026-06-06 12:39:20,1693.0
2026-06-06 12:39:30,1682.0
2026-06-06 12:39:40,1649.0
2026-06-06 12:39:50,1756.0
2026-06-06 12:40:00,1646.0
2026-06-06 12:40:10,1698.0
2026-06-06 12:40:20,1616.0
2026-06-06 12:40:30,1629.0
2026-06-06 12:40:40,1730.0
