timestamp,fuel_rate_lph
2026-06-06 12:20:50,3.89
2026-06-06 12:21:00,4.32
2026-06-06 12:21:10,4.09
2026-06-06 12:21:20,3.71
2026-06-06 12:21:30,4.04
2026-06-06 12:21:40,3.96
2026-06-06 12:21:50,4.17
2026-06-06 12:22:00,3.42
2026-06-06 12:22:10,4.01
2026-06-06 12:22:20,0.25
2026-06-06 12:22:30,3.71
2026-06-06 12:22:40,4.59
2026-06-06 12:22:50,3.61
2026-06-06 12:23:00,4.12
2026-06-06 12:23:10,3.76
2026-06-06 12:23:20,3.68
2026-06-06 12:23:30,4.39
2026-06-06 12:23:40,4.7
2026-06-06 12:23:50,4.32
2026-06-06 12:24:00,3.99
2026-06-06 12:24:10,0.21
2026-06-06 12:24:20,4.23
2026-06-06 12:24:30,4.5
2026-06-06 12:24:40,3.97
2026-06-06 12:24:50,3.86
2026-06-06 12:25:00,4.31
2026-06-06 12:25:10,4.04
2026-06-06 12:25:20,3.73
2026-06-06 12:25:30,3.7
2026-06-06 12:25:40,4.05
2026-06-06 12:25:50,4.04
2026-06-06 12:26:00,4.1
2026-06-06 12:26:10,4.17
2026-06-06 12:26:20,4.26
2026-06-06 12:26:30,4.21
2026-06-06 12:26:40,3.98
2026-06-06 12:26:50,3.83
2026-06-06 12:27:00,4.2
2026-06-06 12:27:10,4.12
2026-06-06 12:27:20,4.14
2026-06-06 12:27:30,4.26
2026-06-06 12:27:40,4.23
2026-06-06 12:27:50,4.22
2026-06-06 12:28:00,4.01
2026-06-06 12:28:10,4.26
2026-06-06 12:28:20,3.74
2026-06-06 12:28:30,3.59
2026-06-06 12:28:40,3.87
2026-06-06 12:28:50,4.05
2026-06-06 12:29:00,3.78
2026-06-06 12:29:10,3.52
2026-06-06 12:29:20,3.98
2026-06-06 12:29:30,3.84
2026-06-06 12:29:40,3.4
2026-06-06 12:29:50,4.35
2026-06-06 12:30:00,3.96
2026-06-06 12:30:10,4.32
2026-06-06 12:30:20,4.02
2026-06-06 12:30:30,4.31
2026-06-06 12:30:40,0.28
2026-06-06 12:30:50,0.15
2026-06-06 12:31:00,0.43
2026-06-06 12:31:10,0.38
2026-06-06 12:31:20,2.96
2026-06-06 12:31:30,3.25
2026-06-06 12:31:40,2.71
2026-06-06 12:31:50,3.6
2026-06-06 12:32:00,0.28
2026-06-06 12:32:10,3.6
2026-06-06 12:32:20,2.99
2026-06-06 12:32:30,3.02
2026-06-06 12:32:40,2.92
2026-06-06 12:32:50,2.72
2026-06-06 12:33:00,4.05
2026-06-06 12:33:10,0.29
2026-06-06 12:33:20,3.31
2026-06-06 12:33:30,3.46
2026-06-06 12:33:40,3.0
2026-06-06 12:33:50,3.31
2026-06-06 12:34:00,3.03
2026-06-06 12:34:10,2.83
2026-06-06 12:34:20,4.04
2026-06-06 12:34:30,3.37
2026-06-06 12:34:40,0.44
2026-06-06 12:34:50,3.31
2026-06-06 12:35:00,3.2
2026-06-06 12:35:10,3.05
2026-06-06 12:35:20,3.22
2026-06-06 12:35:30,3.07
2026-06-06 12:35:40,3.0
2026-06-06 12:35:50,3.16
2026-06-06 12:36:00,3.09
2026-06-06 12:36:10,3.21
2026-06-06 12:36:20,3.22
2026-06-06 12:36:30,2.92
2026-06-06 12:36:40,2.75
2026-06-06 12:36:50,2.89
2026-06-06 12:37:00,2.65
2026-06-06 12:37:10,2.96
2026-06-06 12:37:20,3.12
2026-06-06 12:37:30,3.15
2026-06-06 12:37:40,2.96
2026-06-06 12:37:50,3.41
2026-06-06 12:38:00,2.95
2026-06-06 12:38:10,3.33
2026-06-06 12:38:20,2.92
2026-06-06 12:38:30,3.03
2026-06-06 12:38:40,3.57
2026-06-06 12:38:50,3.36
2026-06-06 12:39:00,3.21
2026-06-06 12:39:10,2.73
2026-06-06 12:39:20,3.29
2026-06-06 12:39:30,3.06
2026-06-06 12:39:40,2.85
2026-06-06 12:39:50,3.38
2026-06-06 12:40:00,0.27
2026-06-06 12:40:10,3.3
2026-06-06 12:40:20,3.13
2026-06-06 12:40:30,3.23
2026-06-06 12:40:40,3.27
