timestamp,maf_gps
2026-05-05 06:00:00,25.2182
,
2026-05-05 06:00:00,21.4378
2026-05-05 06:20:00,11.9724
2026-05-05 06:40:00,21.6723
2026-05-05 07:00:00,24.5456
,
2026-05-05 07:20:00,14.2465
2026-05-05 07:40:00,14.9789
2026-05-05 08:00:00,15.7591
2026-05-05 08:20:00,16.7841
2026-05-05 08:40:00,16.488
2026-05-05 09:00:00,20.447
2026-05-05 09:20:00,21.0697
,
2026-05-06 07:00:00,27.1525
2026-05-06 07:20:00,16.0341
2026-05-06 07:40:00,22.4375
2026-05-06 08:00:00,16.4415
2026-05-06 08:20:00,22.4752
2026-05-06 08:40:00,20.3027
2026-05-06 09:00:00,15.0921
,
2026-05-06 10:00:00,23.5094
2026-05-06 10:20:00,14.6716
2026-05-06 10:40:00,16.0978
2026-05-06 11:00:00,19.3178
,
2026-05-06 11:20:00,22.3967
,
2026-05-06 12:00:00,17.0513
2026-05-06 12:20:00,11.1113
2026-05-06 12:40:00,21.663
2026-05-06 13:00:00,13.2733
,
2026-05-07 06:00:00,17.3132
2026-05-07 06:20:00,19.158
2026-05-07 06:40:00,12.2373
2026-05-07 07:00:00,12.7063
2026-05-07 07:20:00,18.2207
2026-05-07 07:40:00,17.1744
,
2026-05-07 10:00:00,21.2139
2026-05-07 10:20:00,15.8043
2026-05-07 10:40:00,14.1554
2026-05-07 11:00:00,18.7149
,
2026-05-07 12:00:00,14.1992
2026-05-07 12:20:00,21.3691
2026-05-07 12:40:00,17.7217
2026-05-07 13:00:00,14.132
,
2026-05-08 06:40:00,18.845
2026-05-08 07:00:00,15.1777
2026-05-08 07:20:00,12.4877
2026-05-08 07:40:00,18.5095
2026-05-08 08:00:00,6.1625
,
2026-05-08 09:40:00,22.6485
2026-05-08 10:00:00,6.5171
2026-05-08 10:20:00,16.5518
2026-05-08 10:40:00,12.2941
,
2026-05-08 12:20:00,19.104
2026-05-08 12:40:00,12.1917
2026-05-08 13:00:00,18.7271
,
2026-05-08 13:40:00,15.517
2026-05-08 14:00:00,11.8828
,
2026-05-09 07:20:00,16.9193
2026-05-09 07:40:00,18.2289
2026-05-09 08:00:00,18.9552
2026-05-09 08:20:00,9.8565
,
2026-05-09 09:40:00,20.1044
2026-05-09 10:00:00,14.0713
2026-05-09 10:20:00,19.4932
2026-05-09 10:40:00,18.59
2026-05-09 11:00:00,14.1447
,
2026-05-09 11:20:00,12.848
2026-05-09 11:40:00,16.5878
2026-05-09 12:00:00,19.0009
,
2026-05-09 12:40:00,11.164
2026-05-09 13:00:00,18.5752
2026-05-09 13:20:00,15.2051
,
2026-05-10 07:20:00,13.0278
2026-05-10 07:40:00,18.9923
2026-05-10 08:00:00,20.5716
2026-05-10 08:20:00,18.8637
2026-05-10 08:40:00,21.6607
2026-05-10 09:00:00,9.912
2026-05-10 09:20:00,10.4917
,
2026-05-10 11:00:00,16.4318
2026-05-10 11:20:00,6.4788
2026-05-10 11:40:00,12.0113
2026-05-10 12:00:00,20.118
,
2026-05-10 12:20:00,5.155
2026-05-10 12:40:00,47.2253
,
2026-05-10 13:00:00,18.8397
2026-05-10 13:20:00,21.4973
2026-05-10 13:40:00,20.2372
,
2026-05-11 06:20:00,31.0211
2026-05-11 06:40:00,21.9705
2026-05-11 07:00:00,17.3813
2026-05-11 07:20:00,15.0988
2026-05-11 07:40:00,15.7896
2026-05-11 08:00:00,13.5693
2026-05-11 08:20:00,15.4656
,
2026-05-11 10:40:00,18.3997
2026-05-11 11:00:00,10.884
2026-05-11 11:20:00,21.533
2026-05-11 11:40:00,18.1255
,
2026-05-11 12:20:00,19.6254
2026-05-11 12:40:00,16.8314
2026-05-11 13:00:00,14.0211
2026-05-11 13:20:00,14.182
,
2026-05-12 07:40:00,20.7961
2026-05-12 08:00:00,21.0227
2026-05-12 08:20:00,20.246
2026-05-12 08:40:00,13.0942
,
2026-05-12 10:20:00,18.0782
2026-05-12 10:40:00,20.3044
2026-05-12 11:00:00,15.1391
2026-05-12 11:20:00,20.0722
,
2026-05-12 12:40:00,18.0088
2026-05-12 13:00:00,18.4034
,
2026-05-12 14:00:00,20.8055
2026-05-12 14:20:00,17.6939
,
2026-05-13 07:40:00,23.7925
2026-05-13 08:00:00,19.3961
