timestamp,oil_temp_c
2026-05-05 06:00:00,42.5773
,
2026-05-05 06:00:00,56.1673
2026-05-05 06:20:00,74.5092
2026-05-05 06:40:00,86.3942
2026-05-05 07:00:00,89.7333
,
2026-05-05 07:20:00,91.1438
2026-05-05 07:40:00,91.415
2026-05-05 08:00:00,91.4717
2026-05-05 08:20:00,91.6225
2026-05-05 08:40:00,91.7675
2026-05-05 09:00:00,91.7767
2026-05-05 09:20:00,91.7528
,
2026-05-06 07:00:00,40.5083
2026-05-06 07:20:00,63.74
2026-05-06 07:40:00,82.5033
2026-05-06 08:00:00,88.0283
2026-05-06 08:20:00,90.4975
2026-05-06 08:40:00,91.315
2026-05-06 09:00:00,91.8242
,
2026-05-06 10:00:00,64.76
2026-05-06 10:20:00,78.15
2026-05-06 10:40:00,87.475
2026-05-06 11:00:00,90.5022
,
2026-05-06 11:20:00,92.2431
,
2026-05-06 12:00:00,91.7021
2026-05-06 12:20:00,91.8442
2026-05-06 12:40:00,92.0533
2026-05-06 13:00:00,91.8917
,
2026-05-07 06:00:00,50.7449
2026-05-07 06:20:00,74.8425
2026-05-07 06:40:00,86.3192
2026-05-07 07:00:00,89.3025
2026-05-07 07:20:00,91.4008
2026-05-07 07:40:00,92.2177
,
2026-05-07 10:00:00,47.9036
2026-05-07 10:20:00,68.2375
2026-05-07 10:40:00,84.2317
2026-05-07 11:00:00,88.4867
,
2026-05-07 12:00:00,92.2292
2026-05-07 12:20:00,92.1825
2026-05-07 12:40:00,92.1517
2026-05-07 13:00:00,91.685
,
2026-05-08 06:40:00,41.4708
2026-05-08 07:00:00,64.465
2026-05-08 07:20:00,82.335
2026-05-08 07:40:00,88.8108
2026-05-08 08:00:00,89.925
,
2026-05-08 09:40:00,64.9445
2026-05-08 10:00:00,82.0675
2026-05-08 10:20:00,88.6025
2026-05-08 10:40:00,90.5131
,
2026-05-08 12:20:00,60.6032
2026-05-08 12:40:00,77.2533
2026-05-08 13:00:00,84.3571
,
