timestamp,throttle_pct
2026-05-05 06:00:00,22.4318
,
2026-05-05 06:00:00,15.8102
2026-05-05 06:20:00,10.41
2026-05-05 06:40:00,18.5908
2026-05-05 07:00:00,25.0667
,
2026-05-05 07:20:00,15.2375
2026-05-05 07:40:00,12.7633
2026-05-05 08:00:00,14.7092
2026-05-05 08:20:00,14.3525
2026-05-05 08:40:00,16.0483
2026-05-05 09:00:00,17.2883
2026-05-05 09:20:00,16.6556
,
2026-05-06 07:00:00,22.2542
2026-05-06 07:20:00,15.6725
2026-05-06 07:40:00,16.9517
2026-05-06 08:00:00,15.1658
2026-05-06 08:20:00,17.3883
2026-05-06 08:40:00,17.2217
2026-05-06 09:00:00,13.578
,
2026-05-06 10:00:00,21.88
2026-05-06 10:20:00,13.6733
2026-05-06 10:40:00,17.2058
2026-05-06 11:00:00,21.0457
,
2026-05-06 11:20:00,17.4972
,
2026-05-06 12:00:00,15.6196
2026-05-06 12:20:00,11.0042
2026-05-06 12:40:00,16.6975
2026-05-06 13:00:00,12.6528
,
2026-05-07 06:00:00,17.0641
2026-05-07 06:20:00,17.4275
2026-05-07 06:40:00,12.5617
2026-05-07 07:00:00,10.985
2026-05-07 07:20:00,17.0383
2026-05-07 07:40:00,15.1694
,
2026-05-07 10:00:00,21.0143
2026-05-07 10:20:00,14.6725
2026-05-07 10:40:00,16.6533
2026-05-07 11:00:00,18.8911
,
2026-05-07 12:00:00,16.1415
2026-05-07 12:20:00,16.63
2026-05-07 12:40:00,14.2517
2026-05-07 13:00:00,15.795
,
2026-05-08 06:40:00,19.3875
2026-05-08 07:00:00,14.345
2026-05-08 07:20:00,13.9442
2026-05-08 07:40:00,15.175
2026-05-08 08:00:00,19.1
,
2026-05-08 09:40:00,18.5855
2026-05-08 10:00:00,6.5642
2026-05-08 10:20:00,15.7392
2026-05-08 10:40:00,16.5768
,
2026-05-08 12:20:00,18.1841
2026-05-08 12:40:00,12.3575
2026-05-08 13:00:00,22.2286
,
2026-05-08 13:40:00,12.9
2026-05-08 14:00:00,13.7317
,
2026-05-09 07:20:00,14.5675
2026-05-09 07:40:00,17.2283
2026-05-09 08:00:00,17.0608
2026-05-09 08:20:00,14.8118
,
2026-05-09 09:40:00,18.7471
2026-05-09 10:00:00,12.5942
2026-05-09 10:20:00,17.6475
2026-05-09 10:40:00,15.0492
2026-05-09 11:00:00,13.0421
,
2026-05-09 11:20:00,16.4286
2026-05-09 11:40:00,16.6725
2026-05-09 12:00:00,20.9182
,
2026-05-09 12:40:00,13.42
2026-05-09 13:00:00,16.2125
2026-05-09 13:20:00,15.7516
,
2026-05-10 07:20:00,18.4389
2026-05-10 07:40:00,16.8825
2026-05-10 08:00:00,16.7917
2026-05-10 08:20:00,14.27
2026-05-10 08:40:00,17.3917
2026-05-10 09:00:00,12.2558
2026-05-10 09:20:00,15.1171
,
2026-05-10 11:00:00,15.7123
2026-05-10 11:20:00,4.6033
2026-05-10 11:40:00,13.9092
2026-05-10 12:00:00,20.2785
,
2026-05-10 12:20:00,15.025
2026-05-10 12:40:00,39.8324
,
2026-05-10 13:00:00,16.6955
2026-05-10 13:20:00,17.8217
2026-05-10 13:40:00,16.4411
,
2026-05-11 06:20:00,24.0361
2026-05-11 06:40:00,16.0892
2026-05-11 07:00:00,12.8992
2026-05-11 07:20:00,11.65
2026-05-11 07:40:00,15.25
2026-05-11 08:00:00,13.0475
2026-05-11 08:20:00,16.3779
,
2026-05-11 10:40:00,19.1774
2026-05-11 11:00:00,9.5758
2026-05-11 11:20:00,15.4492
2026-05-11 11:40:00,18.4692
,
2026-05-11 12:20:00,16.7506
2026-05-11 12:40:00,13.8592
2026-05-11 13:00:00,11.555
2026-05-11 13:20:00,14.1031
,
2026-05-12 07:40:00,17.0548
2026-05-12 08:00:00,16.5492
2026-05-12 08:20:00,16.2733
2026-05-12 08:40:00,14.875
,
2026-05-12 10:20:00,17.5529
2026-05-12 10:40:00,15.7858
2026-05-12 11:00:00,17.395
2026-05-12 11:20:00,15.0254
,
2026-05-12 12:40:00,17.227
2026-05-12 13:00:00,18.2114
,
2026-05-12 14:00:00,16.8288
2026-05-12 14:20:00,14.6555
,
2026-05-13 07:40:00,26.825
2026-05-13 08:00:00,15.7008
2026-05-13 08:20:00,16.9092
2026-05-13 08:40:00,12.3825
2026-05-13 09:00:00,15.1925
2026-05-13 09:20:00,16.0092
2026-05-13 09:40:00,14.2523
,
2026-05-13 12:00:00,21.9263
2026-05-13 12:20:00,16.1383
2026-05-13 12:40:00,17.3742
2026-05-13 13:00:00,20.2814
,
2026-05-13 13:00:00,23.5769
2026-05-13 13:20:00,21.3231
,
2026-05-13 13:40:00,9.2467
2026-05-13 14:00:00,17.6875
2026-05-13 14:20:00,13.073
,
2026-05-14 08:00:00,16.8681
2026-05-14 08:20:00,13.3067
2026-05-14 08:40:00,8.3046
,
2026-05-14 09:20:00,20.3784
2026-05-14 09:40:00,11.7017
2026-05-14 10:00:00,17.1833
2026-05-14 10:20:00,14.7713
,
2026-05-14 11:00:00,15.9674
2026-05-14 11:20:00,18.3167
,
2026-05-14 12:20:00,12.1398
2026-05-14 12:40:00,15.249
,
2026-05-15 06:40:00,17.9012
2026-05-15 07:00:00,16.0475
2026-05-15 07:20:00,16.3705
,
2026-05-15 08:00:00,38.9
2026-05-15 08:20:00,16.7917
2026-05-15 08:40:00,16.8958
2026-05-15 09:00:00,16.1051
,
2026-05-15 10:00:00,18.2943
2026-05-15 10:20:00,17.5817
2026-05-15 10:40:00,15.8867
2026-05-15 11:00:00,21.1016
,
2026-05-15 11:40:00,9.1784
2026-05-15 12:00:00,14.4508
2026-05-15 12:20:00,16.8321
,
2026-05-16 08:00:00,17.6981
2026-05-16 08:20:00,15.4475
2026-05-16 08:40:00,16.3183
2026-05-16 09:00:00,15.6617
2026-05-16 09:20:00,13.781
,
2026-05-16 11:20:00,14.2901
2026-05-16 11:40:00,12.4742
2026-05-16 12:00:00,19.6065
,
2026-05-16 12:40:00,15.853
2026-05-16 13:00:00,13.9875
