timestamp,z_speed_kmh,z_rpm,z_coolant_c,z_engine_load_pct,z_oil_temp_c,z_runtime_min,z_throttle_pct,z_intake_air_c,z_maf_gps,z_fuel_rate_lph
2026-05-08 07:20:00,-1.011197,-0.952804,0.459965,-0.372208,0.052094,-0.539029,-0.578443,1.439976,-0.960236,-0.956459
2026-05-08 07:40:00,0.199759,0.572715,0.450384,-0.278566,0.50004,-0.171902,-0.25603,0.786615,0.297555,0.245659
2026-05-08 08:00:00,-1.765075,-3.138792,0.43867,0.495768,0.577112,-0.159664,0.772139,1.763577,-2.281399,-2.304699
,,,,,,,,,,
2026-05-08 09:40:00,0.816088,0.9141,-0.764298,0.976758,-1.150848,-1.010173,0.637363,0.57999,1.16208,1.219311
2026-05-08 10:00:00,-1.432134,-2.190148,0.463404,-2.120986,0.03359,-0.643047,-2.511662,2.741128,-2.207332,-2.107797
2026-05-08 10:20:00,-0.304576,0.132508,0.467168,-0.289609,0.485631,-0.27592,-0.108236,0.72916,-0.111356,-0.160029
2026-05-08 10:40:00,-1.201714,-1.001989,0.457626,-0.074029,0.617792,0.026959,0.111177,0.757002,-1.000674,-1.042703
,,,,,,,,,,
2026-05-08 12:20:00,-0.214567,0.585776,-1.511542,0.543696,-1.451146,-1.153965,0.532215,0.727943,0.42173,0.369315
2026-05-08 12:40:00,-0.380587,-1.02763,0.408453,-0.758978,-0.299419,-0.786839,-0.994085,1.998045,-1.022062,-0.930837
2026-05-08 13:00:00,3.991836,-0.218527,0.46815,1.915328,0.191967,-0.744006,1.591688,0.387268,0.343006,0.443211
,,,,,,,,,,
2026-05-08 13:40:00,-0.711764,-0.353322,0.414585,-0.789703,0.636372,0.31454,-0.851975,1.453952,-0.327497,-0.300024
2026-05-08 14:00:00,-1.055514,-0.974724,0.458736,-0.671952,0.664214,0.681666,-0.634108,1.467339,-1.086583,-1.104995
,,,,,,,,,,
2026-05-09 07:20:00,-0.297425,0.104125,-0.72449,-0.394873,-1.662571,-0.97958,-0.415167,1.176301,-0.034595,-0.032474
2026-05-09 07:40:00,-0.341921,0.35249,0.422289,0.20945,-0.097436,-0.612454,0.28184,0.628373,0.238945,0.169999
2026-05-09 08:00:00,0.148817,0.51874,0.424913,0.009148,0.459464,-0.245328,0.237962,0.632651,0.390649,0.360496
2026-05-09 08:20:00,-1.178249,-1.117144,0.40861,-0.836741,0.569683,-0.193317,-0.351172,0.605731,-1.509822,-1.603239
,,,,,,,,,,
2026-05-09 09:40:00,0.422634,0.553548,-1.001692,0.656684,-1.156859,-1.086658,0.679695,0.719387,0.630686,0.635008
2026-05-09 10:00:00,-0.36013,-0.421304,0.415165,-0.924995,-0.044747,-0.719532,-0.932081,1.615439,-0.629465,-0.606936
2026-05-09 10:20:00,0.649458,0.44309,0.477073,0.430011,0.454449,-0.352406,0.391651,0.578589,0.503023,0.488422
2026-05-09 10:40:00,0.344361,0.458715,0.483627,-0.230661,0.626107,0.014721,-0.288984,1.015883,0.314369,0.315471
2026-05-09 11:00:00,-0.436695,0.501405,0.469182,-1.002926,0.658023,0.07285,-0.814751,0.732442,-0.614134,-0.863532
,,,,,,,,,,
2026-05-09 11:20:00,-1.02321,-0.756091,-1.168983,-0.012603,-0.482954,-1.239627,0.072355,0.770795,-0.884979,-0.962215
2026-05-09 11:40:00,-0.24187,-0.217191,0.294384,0.125047,0.091467,-0.872501,0.136246,0.764489,-0.103836,-0.129115
2026-05-09 12:00:00,2.415525,0.074947,0.447426,1.259347,0.444336,-0.704236,1.248423,0.596069,0.400195,0.492228
,,,,,,,,,,
2026-05-09 12:40:00,-0.837203,-0.541918,0.424254,-1.219734,0.66162,0.228878,-0.715759,0.870512,-1.236721,-1.40448
2026-05-09 13:00:00,-0.074162,0.620282,0.438592,0.02919,0.684792,0.596005,0.015747,0.581649,0.311278,0.266175
2026-05-09 13:20:00,-0.452449,-0.124767,0.434651,-0.310253,0.686805,0.880528,-0.104988,0.937703,-0.392645,-0.41811
,,,,,,,,,,
2026-05-10 07:20:00,-1.251003,-1.175096,-3.78246,0.760432,-3.065773,-1.291638,0.598961,-0.337414,-0.847424,-0.842551
2026-05-10 07:40:00,-0.07964,0.647054,-0.205963,0.109407,-1.415224,-0.924511,0.191256,-0.439233,0.398399,0.364766
2026-05-10 08:00:00,0.178036,1.01279,0.381351,0.166334,0.011109,-0.557385,0.167471,-0.509928,0.728272,0.689595
2026-05-10 08:20:00,0.344071,0.401856,0.411971,-0.308039,0.464997,-0.190259,-0.493098,0.102867,0.371538,0.40552
2026-05-10 08:40:00,1.010408,0.971349,0.419921,0.239935,0.626051,0.176868,0.324643,-0.464458,0.955755,0.968842
2026-05-10 09:00:00,-1.00543,-1.318428,0.412875,-1.094812,0.683866,0.543994,-1.020726,0.405854,-1.49823,-1.529343
2026-05-10 09:20:00,-1.227717,-1.254731,0.429128,-0.557738,0.700287,0.651074,-0.271197,-0.366105,-1.377146,-1.474663
,,,,,,,,,,
2026-05-10 11:00:00,-0.710886,-0.45046,-1.433528,0.375298,-1.560051,-1.123371,-0.115282,0.309308,-0.13642,-0.069701
2026-05-10 11:20:00,-1.481181,-2.253696,0.373244,-2.62286,-0.273417,-0.756245,-3.025328,2.08349,-2.215332,-2.065
2026-05-10 11:40:00,-1.07344,-0.964495,0.447927,-0.507548,0.35657,-0.389118,-0.587611,0.362855,-1.059743,-1.051151
2026-05-10 12:00:00,1.15335,0.406532,0.445018,0.938454,0.552964,-0.147426,1.080851,-0.575238,0.633527,0.675855
,,,,,,,,,,
2026-05-10 12:20:00,-1.760925,-3.232878,0.362513,-0.688,0.623803,0.345135,-0.295323,-0.408514,-2.491838,-2.580419
2026-05-10 12:40:00,1.812426,1.124856,0.403412,5.591603,0.671006,0.449154,6.203071,-0.317279,6.295507,6.555549
,,,,,,,,,,
2026-05-10 13:00:00,0.114805,0.36232,0.428136,0.137365,0.725445,1.079387,0.142271,-0.404642,0.366525,0.321783
2026-05-10 13:20:00,0.590446,0.822971,0.412954,0.357421,0.724103,1.446514,0.437283,-0.590763,0.921625,0.908592
2026-05-10 13:40:00,0.621615,1.000693,0.394273,-0.034209,0.726573,1.789166,0.07563,-0.506056,0.658425,0.642435
,,,,,,,,,,
2026-05-11 06:20:00,0.589754,1.73326,-2.730175,2.268221,-2.802725,-1.236569,2.065169,-0.615029,2.910889,3.038966
2026-05-11 06:40:00,1.681641,1.34443,0.086136,0.169342,-1.083716,-0.869442,-0.016552,-0.642392,1.020464,0.988152
2026-05-11 07:00:00,-0.421453,-0.110254,0.432774,-0.653714,0.104264,-0.502316,-0.852185,0.504206,0.061904,0.145861
2026-05-11 07:20:00,-0.282501,-0.34498,0.423606,-1.090602,0.518315,-0.13519,-1.179417,0.579806,-0.414848,-0.370207
2026-05-11 07:40:00,-0.683043,-0.287352,0.447593,-0.217621,0.629046,0.231937,-0.236384,0.116697,-0.270559,-0.246273
2026-05-11 08:00:00,-0.600745,-0.67158,0.431054,-0.716271,0.667382,0.599063,-0.813337,0.348694,-0.734319,-0.694201
2026-05-11 08:20:00,-0.648983,-0.25838,0.400896,-0.01934,0.713458,0.834637,0.059074,-0.50163,-0.338233,-0.394066
,,,,,,,,,,
2026-05-11 10:40:00,-0.402102,0.476504,-2.980717,0.722777,-2.379618,-1.251865,0.792414,-0.501704,0.274621,0.238232
2026-05-11 11:00:00,-1.275436,-1.698909,0.085566,-1.295933,-0.935514,-0.884739,-1.722762,1.345643,-1.295205,-1.145842
