timestamp,speed_kmh,rpm,coolant_c,engine_load_pct,oil_temp_c,runtime_min,throttle_pct,intake_air_c,maf_gps,fuel_rate_lph
2026-05-08 10:00:00,7.7642,1191.7167,94.4517,25.2742,82.0675,38.1667,6.5642,43.0258,6.5171,1.7471
2026-05-08 10:20:00,24.0683,2224.8583,94.49,32.8858,88.6025,58.1667,15.7392,37.57,16.5518,3.8452
2026-05-08 10:40:00,11.096,1720.2222,94.3929,33.7818,90.5131,74.6667,16.5768,37.6455,12.2941,2.8944
,,,,,,,,,,
2026-05-08 12:20:00,25.3698,2426.4762,74.354,36.3492,60.6032,10.3333,18.1841,37.5667,19.104,4.4154
2026-05-08 12:40:00,22.9692,1708.8167,93.8925,30.935,77.2533,30.3333,12.3575,41.0108,12.1917,3.0149
2026-05-08 13:00:00,86.1929,2068.7143,94.5,42.05,84.3571,32.6667,22.2286,36.6429,18.7271,4.495
,,,,,,,,,,
2026-05-08 13:40:00,18.1805,2008.7561,93.9549,30.8073,90.7817,90.3333,12.9,39.5354,15.517,3.6944
2026-05-08 14:00:00,13.21,1732.35,94.4042,31.2967,91.1842,110.3333,13.7317,39.5717,11.8828,2.8273
,,,,,,,,,,
2026-05-09 07:20:00,24.1717,2212.2333,82.3633,32.4483,57.5467,19.8333,14.5675,38.7825,16.9193,3.9826
2026-05-09 07:40:00,23.5283,2322.7083,94.0333,34.96,80.1733,39.8333,17.2283,37.2967,18.2289,4.2007
2026-05-09 08:00:00,30.6242,2396.6583,94.06,34.1275,88.2242,59.8333,17.0608,37.3083,18.9552,4.4059
2026-05-09 08:20:00,11.4353,1669.0,93.8941,30.6118,89.8176,62.6667,14.8118,37.2353,9.8565,2.2906
,,,,,,,,,,
2026-05-09 09:40:00,34.5835,2412.1412,79.5424,36.8188,64.8576,14.0,18.7471,37.5435,20.1044,4.7016
2026-05-09 10:00:00,23.265,1978.5167,93.9608,30.245,80.935,34.0,12.5942,39.9733,14.0713,3.3638
2026-05-09 10:20:00,37.8633,2363.0083,94.5908,35.8767,88.1517,54.0,17.6475,37.1617,19.4932,4.5437
2026-05-09 10:40:00,33.4517,2369.9583,94.6575,33.1308,90.6333,74.0,15.0492,38.3475,18.59,4.3574
2026-05-09 11:00:00,22.1579,2388.9474,94.5105,29.9211,91.0947,77.1667,13.0421,37.5789,14.1447,3.0874
,,,,,,,,,,
2026-05-09 11:20:00,13.6771,1829.6,77.84,34.0371,74.6,5.6667,16.4286,37.6829,12.848,2.9811
2026-05-09 11:40:00,24.975,2069.3083,92.7317,34.6092,82.9042,25.6667,16.6725,37.6658,16.5878,3.8785
2026-05-09 12:00:00,63.4,2199.2545,94.2891,39.3236,88.0055,34.8333,20.9182,37.2091,19.0009,4.5478
,,,,,,,,,,
2026-05-09 12:40:00,16.3667,1924.8667,94.0533,29.02,91.1467,85.6667,13.42,37.9533,11.164,2.5047
2026-05-09 13:00:00,27.4,2441.825,94.1992,34.2108,91.4817,105.6667,16.2125,37.17,18.5752,4.3043
2026-05-09 13:20:00,21.9301,2110.4194,94.1591,32.8,91.5108,121.1667,15.7516,38.1355,15.2051,3.5672
,,,,,,,,,,
2026-05-10 07:20:00,10.3833,1643.2222,51.2444,37.25,37.2611,2.8333,18.4389,34.6778,13.0278,3.11
2026-05-10 07:40:00,27.3208,2453.7333,87.64,34.5442,61.1225,22.8333,16.8825,34.4017,18.9923,4.4105
2026-05-10 08:00:00,31.0467,2616.4167,93.6167,34.7808,81.7425,42.8333,16.7917,34.21,20.5716,4.7604
2026-05-10 08:20:00,33.4475,2344.6667,93.9283,32.8092,88.3042,62.8333,14.27,35.8717,18.8637,4.4544
2026-05-10 08:40:00,43.0825,2597.9833,94.0092,35.0867,90.6325,82.8333,17.3917,34.3333,21.6607,5.0612
2026-05-10 09:00:00,13.9342,1579.4667,93.9375,29.5392,91.4683,102.8333,12.2558,36.6933,9.912,2.3702
2026-05-10 09:20:00,10.72,1607.8,94.1029,31.7714,91.7057,108.6667,15.1171,34.6,10.4917,2.4291
,,,,,,,,,,
2026-05-10 11:00:00,18.1932,1965.5479,75.1479,35.6493,59.0288,12.0,15.7123,36.4315,16.4318,3.9425
2026-05-10 11:20:00,7.055,1163.45,93.5342,23.1883,77.6292,32.0,4.6033,41.2425,6.4788,1.7932
2026-05-10 11:40:00,12.9508,1736.9,94.2942,31.98,86.7367,52.0,13.9092,36.5767,12.0113,2.8853
2026-05-10 12:00:00,45.1494,2346.7468,94.2646,37.9899,89.5759,65.1667,20.2785,34.0329,20.118,4.7456
,,,,,,,,,,
2026-05-10 12:20:00,3.01,727.9,93.425,31.23,90.6,92.0,15.025,34.485,5.155,1.238
2026-05-10 12:40:00,54.6794,2666.2647,93.8412,57.3294,91.2824,97.6667,39.8324,34.7324,47.2253,11.0791
,,,,,,,,,,
