timestamp,fuel_rate_lph
2026-05-17 10:00:00,3.0066
2026-05-17 10:20:00,3.8478
,
2026-05-17 11:20:00,1.5369
2026-05-17 11:40:00,4.7323
2026-05-17 12:00:00,4.0456
,
2026-05-18 08:20:00,3.4458
2026-05-18 08:40:00,4.3299
2026-05-18 09:00:00,4.877
2026-05-18 09:20:00,4.2207
,
2026-05-18 10:00:00,4.9512
2026-05-18 10:20:00,4.158
2026-05-18 10:40:00,3.6008
2026-05-18 11:00:00,5.0564
2026-05-18 11:20:00,4.5685
2026-05-18 11:40:00,3.7267
2026-05-18 12:00:00,3.9658
,
2026-05-19 07:00:00,4.7837
2026-05-19 07:20:00,3.0959
2026-05-19 07:40:00,5.5146
2026-05-19 08:00:00,4.047
2026-05-19 08:20:00,3.0025
,
2026-05-19 09:00:00,4.3888
2026-05-19 09:20:00,4.5859
2026-05-19 09:40:00,3.3332
2026-05-19 10:00:00,5.3911
2026-05-19 10:20:00,3.4588
2026-05-19 10:40:00,5.3773
2026-05-19 11:00:00,3.572
,
2026-05-20 07:20:00,5.0454
2026-05-20 07:40:00,2.4641
2026-05-20 08:00:00,3.3941
2026-05-20 08:20:00,5.0228
2026-05-20 08:40:00,4.0165
2026-05-20 09:00:00,4.1421
2026-05-20 09:20:00,3.491
,
2026-05-20 11:40:00,6.98
2026-05-20 12:00:00,3.8905
2026-05-20 12:20:00,3.0166
2026-05-20 12:40:00,4.2756
,
2026-05-20 13:40:00,4.4022
2026-05-20 14:00:00,3.8864
2026-05-20 14:20:00,4.8671
2026-05-20 14:40:00,3.9577
,
2026-05-21 06:00:00,4.5783
2026-05-21 06:20:00,3.68
2026-05-21 06:40:00,4.9977
2026-05-21 07:00:00,2.8028
,
2026-05-21 08:20:00,4.2056
2026-05-21 08:40:00,5.0687
2026-05-21 09:00:00,3.997
2026-05-21 09:20:00,0.935
,
2026-05-21 10:40:00,2.33
2026-05-21 11:00:00,4.8311
2026-05-21 11:20:00,4.4141
2026-05-21 11:40:00,5.1379
,
2026-05-21 12:20:00,4.2028
2026-05-21 12:40:00,4.6952
2026-05-21 13:00:00,5.0011
,
2026-05-22 07:40:00,4.9748
2026-05-22 08:00:00,2.8054
2026-05-22 08:20:00,4.3567
2026-05-22 08:40:00,5.0812
2026-05-22 09:00:00,3.6649
2026-05-22 09:20:00,5.5178
2026-05-22 09:40:00,3.6818
,
2026-05-22 11:20:00,4.8414
2026-05-22 11:40:00,4.0948
2026-05-22 12:00:00,3.9693
,
2026-05-22 12:40:00,3.8469
2026-05-22 13:00:00,4.4933
2026-05-22 13:20:00,4.1412
2026-05-22 13:40:00,3.7956
,
2026-05-23 07:00:00,4.6533
2026-05-23 07:20:00,4.7608
2026-05-23 07:40:00,3.4188
2026-05-23 08:00:00,3.4171
2026-05-23 08:20:00,4.7498
2026-05-23 08:40:00,1.9786
,
2026-05-23 10:00:00,3.5137
2026-05-23 10:20:00,2.7846
2026-05-23 10:40:00,2.9475
,
2026-05-23 11:00:00,2.9283
2026-05-23 11:20:00,2.9818
2026-05-23 11:40:00,3.8649
2026-05-23 12:00:00,1.16
,
2026-05-24 06:00:00,5.3583
2026-05-24 06:20:00,4.9815
2026-05-24 06:40:00,5.203
2026-05-24 07:00:00,3.8154
2026-05-24 07:20:00,4.0165
,
2026-05-24 09:40:00,4.4483
2026-05-24 10:00:00,5.2264
2026-05-24 10:20:00,3.5718
,
2026-05-24 11:40:00,4.9103
2026-05-24 12:00:00,5.4107
,
2026-05-24 12:20:00,4.6194
,
2026-05-24 13:20:00,3.6912
2026-05-24 13:40:00,4.1627
,
2026-05-25 06:20:00,5.1006
2026-05-25 06:40:00,4.7157
2026-05-25 07:00:00,4.4029
2026-05-25 07:20:00,3.5184
2026-05-25 07:40:00,2.8908
,
2026-05-25 10:00:00,4.8307
2026-05-25 10:20:00,4.3196
2026-05-25 10:40:00,3.244
,
2026-05-26 08:20:00,4.2245
2026-05-26 08:40:00,1.4932
2026-05-26 09:00:00,4.3442
2026-05-26 09:20:00,3.744
,
2026-05-26 09:40:00,7.2231
2026-05-26 10:00:00,4.8092
2026-05-26 10:20:00,2.5992
2026-05-26 10:40:00,3.7803
2026-05-26 11:00:00,4.0418
2026-05-26 11:20:00,4.2016
2026-05-26 11:40:00,4.7641
2026-05-26 12:00:00,4.1212
,
2026-05-27 06:40:00,3.8961
2026-05-27 07:00:00,4.5284
2026-05-27 07:20:00,5.5097
2026-05-27 07:40:00,4.5875
2026-05-27 08:00:00,4.1618
2026-05-27 08:20:00,2.9888
,
2026-05-27 10:00:00,3.014
2026-05-27 10:20:00,4.4364
2026-05-27 10:40:00,3.4961
2026-05-27 11:00:00,4.7616
,
2026-05-27 11:20:00,4.4481
2026-05-27 11:40:00,4.5799
2026-05-27 12:00:00,4.3564
2026-05-27 12:20:00,3.72
,
2026-05-28 06:20:00,4.0735
2026-05-28 06:40:00,3.5265
2026-05-28 07:00:00,3.7859
,
2026-05-28 09:20:00,2.6018
2026-05-28 09:40:00,4.1051
2026-05-28 10:00:00,3.8723
,
2026-05-28 11:00:00,3.2884
2026-05-28 11:20:00,4.3401
2026-05-28 11:40:00,4.2245
,
2026-05-28 13:00:00,1.7167
,
2026-05-29 06:00:00,3.2219
2026-05-29 06:20:00,4.0386
2026-05-29 06:40:00,3.6912
2026-05-29 07:00:00,1.0133
,
2026-05-29 07:20:00,4.1071
2026-05-29 07:40:00,2.175
2026-05-29 08:00:00,2.7323
,
2026-05-29 10:00:00,2.1842
2026-05-29 10:20:00,2.7658
2026-05-29 10:40:00,5.2129
,
2026-05-29 11:20:00,3.6716
2026-05-29 11:40:00,2.5317
2026-05-29 12:00:00,4.6903
,
2026-05-30 06:40:00,4.9059
2026-05-30 07:00:00,3.83
2026-05-30 07:20:00,5.146
2026-05-30 07:40:00,4.9519
2026-05-30 08:00:00,4.1654
2026-05-30 08:20:00,1.8185
,
2026-05-30 10:00:00,5.0374
2026-05-30 10:20:00,4.4397
2026-05-30 10:40:00,4.3075
,
2026-05-30 11:20:00,5.4342
2026-05-30 11:40:00,4.6877
2026-05-30 12:00:00,4.0595
2026-05-30 12:20:00,4.0213
2026-05-30 12:40:00,3.7913
,
2026-05-31 08:00:00,3.1522
2026-05-31 08:20:00,3.8086
2026-05-31 08:40:00,3.4387
2026-05-31 09:00:00,3.8187
2026-05-31 09:20:00,4.9131
2026-05-31 09:40:00,4.5369
2026-05-31 10:00:00,2.9493
,
2026-05-31 11:00:00,4.8567
2026-05-31 11:20:00,4.9891
2026-05-31 11:40:00,4.7943
2026-05-31 12:00:00,3.675
,
2026-05-31 12:40:00,4.5792
2026-05-31 13:00:00,3.7762
2026-05-31 13:20:00,3.9908
2026-05-31 13:40:00,2.0863
,
2026-06-01 07:20:00,3.28
2026-06-01 07:40:00,3.5146
2026-06-01 08:00:00,3.8958
2026-06-01 08:20:00,4.9088
2026-06-01 08:40:00,4.4435
2026-06-01 09:00:00,4.0213
,
2026-06-01 10:40:00,2.7647
2026-06-01 11:00:00,3.0648
2026-06-01 11:20:00,3.6512
,
2026-06-01 11:20:00,2.9175
,
2026-06-01 12:00:00,2.98
2026-06-01 12:20:00,2.6196
2026-06-01 12:40:00,5.412
2026-06-01 13:00:00,4.8331
2026-06-01 13:20:00,4.6751
,
2026-06-02 06:00:00,4.5167
2026-06-02 06:20:00,4.2132
2026-06-02 06:40:00,4.4257
