timestamp,speed_kmh
2026-05-05 06:00:00,27.3273
,
2026-05-05 06:00:00,50.8653
2026-05-05 06:20:00,23.0617
2026-05-05 06:40:00,42.81
2026-05-05 07:00:00,100.4778
,
2026-05-05 07:20:00,19.4521
2026-05-05 07:40:00,20.095
2026-05-05 08:00:00,21.5625
2026-05-05 08:20:00,30.685
2026-05-05 08:40:00,21.7925
2026-05-05 09:00:00,33.045
2026-05-05 09:20:00,34.7861
,
2026-05-06 07:00:00,29.3667
2026-05-06 07:20:00,21.6092
2026-05-06 07:40:00,41.6817
2026-05-06 08:00:00,23.7033
2026-05-06 08:20:00,48.5158
2026-05-06 08:40:00,30.6833
2026-05-06 09:00:00,21.4835
,
2026-05-06 10:00:00,33.5371
2026-05-06 10:20:00,23.385
2026-05-06 10:40:00,19.14
2026-05-06 11:00:00,39.9598
,
2026-05-06 11:20:00,25.1181
,
2026-05-06 12:00:00,27.1186
2026-05-06 12:20:00,14.6817
2026-05-06 12:40:00,36.96
2026-05-06 13:00:00,31.5222
,
2026-05-07 06:00:00,23.0013
2026-05-07 06:20:00,35.9808
2026-05-07 06:40:00,23.875
2026-05-07 07:00:00,20.1408
2026-05-07 07:20:00,22.4342
2026-05-07 07:40:00,45.4065
,
2026-05-07 10:00:00,27.275
2026-05-07 10:20:00,20.7792
2026-05-07 10:40:00,16.7967
2026-05-07 11:00:00,67.3733
,
2026-05-07 12:00:00,16.2862
2026-05-07 12:20:00,41.7425
2026-05-07 12:40:00,29.7417
2026-05-07 13:00:00,17.69
,
2026-05-08 06:40:00,24.5083
2026-05-08 07:00:00,23.5592
2026-05-08 07:20:00,13.8508
2026-05-08 07:40:00,31.3608
2026-05-08 08:00:00,2.95
,
2026-05-08 09:40:00,40.2727
2026-05-08 10:00:00,7.7642
2026-05-08 10:20:00,24.0683
2026-05-08 10:40:00,11.096
,
2026-05-08 12:20:00,25.3698
2026-05-08 12:40:00,22.9692
2026-05-08 13:00:00,86.1929
,
2026-05-08 13:40:00,18.1805
2026-05-08 14:00:00,13.21
,
2026-05-09 07:20:00,24.1717
2026-05-09 07:40:00,23.5283
2026-05-09 08:00:00,30.6242
2026-05-09 08:20:00,11.4353
,
2026-05-09 09:40:00,34.5835
2026-05-09 10:00:00,23.265
2026-05-09 10:20:00,37.8633
2026-05-09 10:40:00,33.4517
2026-05-09 11:00:00,22.1579
,
2026-05-09 11:20:00,13.6771
2026-05-09 11:40:00,24.975
2026-05-09 12:00:00,63.4
,
2026-05-09 12:40:00,16.3667
2026-05-09 13:00:00,27.4
2026-05-09 13:20:00,21.9301
,
2026-05-10 07:20:00,10.3833
2026-05-10 07:40:00,27.3208
2026-05-10 08:00:00,31.0467
2026-05-10 08:20:00,33.4475
2026-05-10 08:40:00,43.0825
2026-05-10 09:00:00,13.9342
2026-05-10 09:20:00,10.72
,
2026-05-10 11:00:00,18.1932
2026-05-10 11:20:00,7.055
2026-05-10 11:40:00,12.9508
2026-05-10 12:00:00,45.1494
,
2026-05-10 12:20:00,3.01
2026-05-10 12:40:00,54.6794
,
2026-05-10 13:00:00,30.1324
2026-05-10 13:20:00,37.01
2026-05-10 13:40:00,37.4607
,
2026-05-11 06:20:00,37.0
2026-05-11 06:40:00,52.7883
2026-05-11 07:00:00,22.3783
2026-05-11 07:20:00,24.3875
2026-05-11 07:40:00,18.5958
2026-05-11 08:00:00,19.7858
2026-05-11 08:20:00,19.0883
,
2026-05-11 10:40:00,22.6581
2026-05-11 11:00:00,10.03
2026-05-11 11:20:00,49.5008
2026-05-11 11:40:00,37.6808
,
2026-05-11 12:20:00,39.4544
2026-05-11 12:40:00,25.5342
2026-05-11 13:00:00,25.3825
2026-05-11 13:20:00,30.6831
,
2026-05-12 07:40:00,36.4655
2026-05-12 08:00:00,52.3417
2026-05-12 08:20:00,31.5117
2026-05-12 08:40:00,16.6583
,
2026-05-12 10:20:00,25.0863
2026-05-12 10:40:00,35.5858
2026-05-12 11:00:00,16.535
2026-05-12 11:20:00,41.7269
,
2026-05-12 12:40:00,25.1022
2026-05-12 13:00:00,42.0419
,
2026-05-12 14:00:00,29.6808
2026-05-12 14:20:00,29.5764
,
2026-05-13 07:40:00,24.8583
2026-05-13 08:00:00,29.8575
2026-05-13 08:20:00,36.1442
2026-05-13 08:40:00,20.685
2026-05-13 09:00:00,28.6425
2026-05-13 09:20:00,37.0967
2026-05-13 09:40:00,18.5892
,
2026-05-13 12:00:00,20.9105
2026-05-13 12:20:00,28.4983
2026-05-13 12:40:00,33.54
2026-05-13 13:00:00,41.5744
,
2026-05-13 13:00:00,54.5692
2026-05-13 13:20:00,88.5
,
2026-05-13 13:40:00,5.7
2026-05-13 14:00:00,45.5558
2026-05-13 14:20:00,27.3113
,
2026-05-14 08:00:00,27.7056
2026-05-14 08:20:00,30.7317
2026-05-14 08:40:00,5.9585
,
2026-05-14 09:20:00,17.1135
2026-05-14 09:40:00,20.3142
2026-05-14 10:00:00,31.5183
2026-05-14 10:20:00,21.466
,
2026-05-14 11:00:00,24.3326
2026-05-14 11:20:00,35.93
,
2026-05-14 12:20:00,10.7184
2026-05-14 12:40:00,8.9059
,
2026-05-15 06:40:00,35.1893
2026-05-15 07:00:00,22.8867
2026-05-15 07:20:00,19.2625
,
2026-05-15 08:00:00,7.1
