timestamp,runtime_min
2026-05-05 06:00:00,3.5
,
2026-05-05 06:00:00,11.8333
2026-05-05 06:20:00,31.8333
2026-05-05 06:40:00,51.8333
2026-05-05 07:00:00,53.3333
,
2026-05-05 07:20:00,91.8333
2026-05-05 07:40:00,111.8333
2026-05-05 08:00:00,131.8333
2026-05-05 08:20:00,151.8333
2026-05-05 08:40:00,171.8333
2026-05-05 09:00:00,191.8333
2026-05-05 09:20:00,197.8333
,
2026-05-06 07:00:00,3.8333
2026-05-06 07:20:00,23.8333
2026-05-06 07:40:00,43.8333
2026-05-06 08:00:00,63.8333
2026-05-06 08:20:00,83.8333
2026-05-06 08:40:00,103.8333
2026-05-06 09:00:00,119.0
,
2026-05-06 10:00:00,5.6667
2026-05-06 10:20:00,25.6667
2026-05-06 10:40:00,45.6667
2026-05-06 11:00:00,61.0
,
2026-05-06 11:20:00,83.8333
,
2026-05-06 12:00:00,125.6667
2026-05-06 12:20:00,145.6667
2026-05-06 12:40:00,165.6667
2026-05-06 13:00:00,171.6667
,
2026-05-07 06:00:00,12.8333
2026-05-07 06:20:00,32.8333
2026-05-07 06:40:00,52.8333
2026-05-07 07:00:00,72.8333
2026-05-07 07:20:00,92.8333
2026-05-07 07:40:00,103.1667
,
2026-05-07 10:00:00,4.5
2026-05-07 10:20:00,24.5
2026-05-07 10:40:00,44.5
2026-05-07 11:00:00,52.0
,
2026-05-07 12:00:00,124.5
2026-05-07 12:20:00,144.5
2026-05-07 12:40:00,164.5
2026-05-07 13:00:00,167.8333
,
2026-05-08 06:40:00,3.8333
2026-05-08 07:00:00,23.8333
2026-05-08 07:20:00,43.8333
2026-05-08 07:40:00,63.8333
2026-05-08 08:00:00,64.5
,
2026-05-08 09:40:00,18.1667
2026-05-08 10:00:00,38.1667
2026-05-08 10:20:00,58.1667
2026-05-08 10:40:00,74.6667
,
2026-05-08 12:20:00,10.3333
2026-05-08 12:40:00,30.3333
2026-05-08 13:00:00,32.6667
,
